volcano,start,stop,duration,confirmed,vei
Kīlauea,2024-06-03,2024-06-03,0,TRUE,NA
Atka Volcanic Complex,2024-03-27,2024-03-27,0,TRUE,NA
Ahyi,2024-01-01,2024-03-27,86,TRUE,NA
Kanaga,2023-12-18,2023-12-18,0,TRUE,1
Ruby,2023-09-14,2023-09-15,1,TRUE,1
Shishaldin,2023-07-11,2023-11-03,115,TRUE,3
Mauna Loa,2022-11-27,2022-12-10,13,TRUE,0
Ahyi,2022-11-18,2023-06-11,205,TRUE,1
Kīlauea,2021-09-29,2023-09-16,717,TRUE,0
Pavlof,2021-08-05,2022-12-07,489,TRUE,2
Pagan,2021-07-29,2021-09-06,39,TRUE,2
Great Sitkin,2021-05-25,2024-07-23,1155,TRUE,2
Veniaminof,2021-02-28,2021-04-05,36,TRUE,1
Semisopochnoi,2021-02-02,2023-05-05,822,TRUE,2
Kīlauea,2020-12-20,2021-05-23,154,TRUE,0
Cleveland,2020-06-01,2020-06-01,0,TRUE,3
Semisopochnoi,2019-12-07,2020-06-19,195,TRUE,1
Cleveland,2019-11-07,2019-12-07,30,FALSE,NA
Shishaldin,2019-07-23,2020-05-04,286,TRUE,3
Semisopochnoi,2019-07-16,2019-08-24,39,TRUE,1
Great Sitkin,2019-06-01,2019-06-07,6,TRUE,1
Semisopochnoi,2018-09-08,2018-10-31,53,TRUE,1
Veniaminof,2018-09-04,2018-12-23,110,TRUE,1
Great Sitkin,2018-06-10,2018-08-11,62,TRUE,1
Bogoslof,2016-12-20,2017-08-30,253,TRUE,3
Cleveland,2016-04-16,2019-01-16,1005,TRUE,2
Pavlof,2016-03-27,2016-07-30,125,TRUE,3
Pavlof,2014-11-12,2014-11-15,3,TRUE,3
Pavlof,2014-05-31,2014-06-06,6,TRUE,3
Ahyi,2014-04-24,2014-05-17,23,TRUE,2
Shishaldin,2014-01-30,2015-07-03,519,TRUE,1
Veniaminof,2013-06-13,2013-10-12,121,TRUE,3
Pavlof,2013-05-13,2013-06-26,44,TRUE,3
Mariana Back-Arc Segment at 15.5°N,2013-02-13,2015-12-01,1021,TRUE,0
Pagan,2012-07-10,2012-07-10,0,TRUE,2
Kanaga,2012-02-18,2012-02-18,0,TRUE,2
Cleveland,2011-07-19,2015-08-18,1491,TRUE,2
Pagan,2011-04-23,2011-09-01,131,TRUE,2
Cleveland,2010-09-11,2010-09-12,1,FALSE,NA
Cleveland,2010-05-30,2010-06-02,3,TRUE,2
South Sarigan Seamount,2010-05-27,2010-05-29,2,TRUE,3
Pagan,2010-05-03,2010-08-11,100,TRUE,1
Cleveland,2009-10-02,2009-12-12,71,TRUE,2
Cleveland,2009-06-25,2009-06-25,0,TRUE,2
Redoubt,2009-03-15,2009-07-01,108,TRUE,3
Cleveland,2009-01-02,2009-01-21,19,TRUE,2
Kasatochi,2008-08-07,2008-08-09,2,TRUE,4
Okmok,2008-07-12,2008-08-19,38,TRUE,4
Veniaminof,2008-02-22,2008-03-01,8,TRUE,1
Shishaldin,2008-02-12,2008-02-12,0,FALSE,NA
Anatahan,2007-11-27,2008-08-09,256,TRUE,2
Pavlof,2007-08-15,2007-09-13,29,TRUE,2
Cleveland,2007-06-17,2008-08-12,422,TRUE,2
Pagan,2006-12-04,2006-12-08,4,TRUE,1
Atka Volcanic Complex,2006-11-25,2007-03-03,98,TRUE,1
Fourpeaked,2006-09-17,2006-09-17,0,TRUE,2
Anatahan,2006-03-20,2006-06-26,98,TRUE,2
Veniaminof,2006-03-03,2006-09-07,188,TRUE,1
Cleveland,2006-02-06,2006-10-28,264,TRUE,3
Augustine,2005-12-09,2006-04-27,139,TRUE,3
Veniaminof,2005-09-07,2005-11-04,58,TRUE,1
Cleveland,2005-03-13,2005-11-27,259,TRUE,2
Atka Volcanic Complex,2005-02-23,2005-05-05,71,TRUE,1
Veniaminof,2005-01-04,2005-02-14,41,TRUE,2
St. Helens,2004-10-01,2008-01-27,1213,TRUE,2
Anatahan,2004-04-12,2005-09-03,509,TRUE,3
Shishaldin,2004-02-17,2004-07-16,150,TRUE,2
Veniaminof,2004-02-16,2004-09-05,202,TRUE,2
Anatahan,2003-05-10,2003-07-12,63,TRUE,3
Veniaminof,2002-09-24,2003-03-23,180,TRUE,1
Wrangell,2002-08-01,2002-08-02,1,FALSE,NA
Ahyi,2001-04-24,2001-04-25,1,TRUE,0
Cleveland,2001-02-02,2001-04-15,72,TRUE,3
