total_minutes,date,button_up,top_color
50.03333333333333,2024-01-26,FALSE,navy
49.63333333333333,2024-01-29,FALSE,navy
50.75,2024-01-31,TRUE,white
50.36666666666667,2024-02-02,FALSE,navy
50.2,2024-02-05,TRUE,red
49.25,2024-02-07,FALSE,gray
47.75,2024-02-09,TRUE,navy
50.7,2024-02-12,TRUE,gray
50.36666666666667,2024-02-14,FALSE,navy
49.666666666666664,2024-02-19,TRUE,navy
49.31666666666667,2024-02-21,FALSE,white
51.05,2024-02-23,TRUE,white
50.416666666666664,2024-02-26,TRUE,navy
50.06666666666667,2024-02-28,TRUE,gray
50.7,2024-03-01,TRUE,navy
50.55,2024-03-04,TRUE,navy
50.7,2024-03-06,TRUE,red
49.75,2024-03-11,TRUE,red
50.71666666666667,2024-03-13,FALSE,red
49.86666666666667,2024-03-15,TRUE,black
50.666666666666664,2024-03-18,TRUE,gray
50.3,2024-03-20,TRUE,white
49.833333333333336,2024-03-22,TRUE,white
49.21666666666667,2024-04-01,TRUE,gray
47.56666666666667,2024-04-03,FALSE,white
50.46666666666667,2024-04-05,TRUE,black
50.416666666666664,2024-04-08,FALSE,navy
49.9,2024-04-10,TRUE,dodgerblue
50.78333333333333,2024-04-12,FALSE,navy
49.583333333333336,2024-04-15,TRUE,gray
50.233333333333334,2024-04-17,FALSE,navy
50.03333333333333,2024-04-19,FALSE,gray
50.333333333333336,2024-04-22,FALSE,navy
49.3,2024-04-24,TRUE,plaid
50.766666666666666,2024-04-26,FALSE,red
48.583333333333336,2024-04-29,TRUE,plaid
51.05,2024-05-01,TRUE,navy
48.483333333333334,2024-05-03,TRUE,gray
