Course,Staff Name,Country,Time,Character,Body,Tires,Glider
Mario Kart Stadium,Nin★Chris,United Kingdom,01:53:00,Mario,Sports Coupe,Standard,Super Glider
Water Park,Nin★Massim,Italy,02:02:00,Baby Luigi,Mr. Scooty,Roller,Super Glider
Sweet Sweet Canyon,Nin★Fausti,France,02:07:00,Baby Peach,Teddy Buggy,Wood,Peach Parasol
Thwomp Ruins,Nin★Sophia,Germany,02:12:00,Donkey Kong,Standard ATV,Monster,Super Glider
Mario Circuit (New),Nin★Sho,Japan,02:08:00,Mario,Standard Kart,Standard,Super Glider
Toad Harbor,Nin★Alice,United States,02:29:00,Toadette,Cat Cruiser,Retro Off-Road,Plane Glider
Twisted Mansion,Nin★Mark,Netherlands,02:14:00,Luigi,Mach 8,Slim,Super Glider
Shy Guy Falls,Nin★Frank,United Kingdom,02:21:00,Shy Guy,Flame Rider,Off-Road,Super Glider
Sunshine Airport,Nin★Leonel,United States,02:20:00,Rosalina,Circuit Special,Standard,Super Glider
Dolphin Shoals,Nin★Skip,United States,02:14:00,Wendy,Landship,Wood,Bowser Kite
Electrodrome,Nin★Yuya,Japan,02:21:00,Larry,Sport Bike,Monster,Super Glider
Mount Wario,Nin★Elena,Russia,02:03:00,Waluigi,The Duke,Monster,Wario Wing
Cloudtop Cruise,Nin★Maria,Portugal,02:19:00,Baby Rosalina,Biddybuggy,Standard,Super Glider
Bone-Dry Dunes,Nin★Elena,Russia,02:15:00,Morton,Tri-Speeder,Monster,Super Glider
Bowser's Castle,Nin★Polly,United Kingdom,02:21:00,Bowser,Badwagon,Standard,Super Glider
Rainbow Road (New),Nin★Mizuho,Japan,02:25:00,Pink Gold Peach,Comet,Slim,Super Glider
Moo Moo Meadows,Nin★Chris,United Kingdom,01:41:00,Daisy,Varmint,Hot Monster,Super Glider
Mario Circuit (GBA),Nin★Rie,Japan,01:44:00,Baby Mario,Yoshi Bike,Standard,Super Glider
Cheep-Cheep Beach,Nin★Massim,Italy,02:06:00,Koopa Troopa,Steel Driver,Metal,Parachute
Toad's Turnpike,Nin★Alice,United States,02:08:00,Toad,Standard Bike,Standard,Parachute
Dry Dry Desert,Nin★Maria,Portugal,02:26:00,Peach,Standard Bike,Slim,Super Glider
Donut Plains 3,Nin★Frank,United Kingdom,01:35:00,Lakitu,Pipe Frame,Monster,Super Glider
