artist,track,date.entered,week,rank
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk1,87
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk2,82
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk3,72
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk4,77
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk5,87
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk6,94
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk7,99
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk8,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk9,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk10,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk11,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk12,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk13,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk14,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk15,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk16,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk17,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk18,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk19,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk20,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk21,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk22,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk23,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk24,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk25,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk26,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk27,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk28,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk29,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk30,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk31,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk32,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk33,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk34,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk35,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk36,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk37,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk38,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk39,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk40,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk41,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk42,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk43,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk44,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk45,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk46,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk47,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk48,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk49,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk50,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk51,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk52,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk53,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk54,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk55,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk56,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk57,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk58,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk59,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk60,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk61,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk62,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk63,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk64,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk65,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk66,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk67,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk68,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk69,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk70,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk71,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk72,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk73,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk74,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk75,NA
2 Pac,Baby Don't Cry (Keep...,2000-02-26,wk76,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk1,91
2Ge+her,The Hardest Part Of ...,2000-09-02,wk2,87
2Ge+her,The Hardest Part Of ...,2000-09-02,wk3,92
2Ge+her,The Hardest Part Of ...,2000-09-02,wk4,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk5,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk6,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk7,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk8,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk9,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk10,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk11,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk12,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk13,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk14,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk15,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk16,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk17,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk18,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk19,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk20,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk21,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk22,NA
