"","BibNum","Year","Sex","Age","Age_Range","Time","K0-5","K5-10","K10-15","K15-20","K20-25","K25-30","K30-35","K35-40","K40-Fin"
"1",25251,2010,"male",38,"35-39",273.13,29.55,29.68,29.1,30.2,30.62,33.92,36.42,38.12,15.52
"2",1458,2010,"male",36,"35-39",172.85,19.2,19.62,19.67,19.82,19.82,21,21.47,22.25,10
"3",25475,2010,"male",39,"35-39",312.7,28.17,28.67,28.85,30.03,32.55,40.4,49.08,52.35,22.6
"4",11126,2010,"female",38,"35-39",223.09,23.78,24.28,24.4,25.65,26.62,27.13,28.48,30.13,12.62
"5",6560,2010,"male",35,"35-39",191.19,22.12,22.27,22.23,22.48,22.73,23.23,23.43,22.98,9.72
"6",6627,2010,"male",38,"35-39",208.56,23.83,23.97,23.87,23.53,23.85,24.68,24.18,27.62,13.03
"7",11005,2010,"female",37,"35-39",206.36,23.12,23.55,23.8,24.23,24.37,25.35,25.55,25.32,11.07
"8",17968,2010,"female",38,"35-39",256.24,25.53,25.3,25.2,26.18,28,51.38,30.38,30.37,13.9
"9",6790,2010,"male",39,"35-39",187.62,19.62,20.23,20.47,20.88,21.22,22.58,24.4,26.4,11.82
"10",22905,2010,"male",38,"35-39",249.15,29.53,29.62,29.2,29.18,28.97,29.92,30.02,30.03,12.68
"11",6786,2010,"male",39,"35-39",195.64,21.22,21.6,21.68,22.33,22.7,24.13,24.8,26.08,11.1
"12",6672,2010,"female",35,"35-39",187.39,21.88,21.52,21.55,21.73,21.97,22.73,23,23.03,9.98
"13",26073,2010,"female",35,"35-39",281.6,29.9,29.35,33.88,29.93,34.9,36.82,39.05,33.22,14.55
"14",6186,2010,"male",37,"35-39",194.64,22.05,21.9,22.13,22.48,22.45,23.63,24.53,24.37,11.1
"15",14543,2010,"female",35,"35-39",349.2,36.85,38.78,39.08,41.42,42.4,43.82,44.23,43.62,19
"16",3075,2010,"male",39,"35-39",177.96,22,21.22,20.98,20.92,20.92,21.17,21.27,20.43,9.05
"17",17652,2010,"female",39,"35-39",253.31,26.05,27.13,33.85,31.65,28.75,30,31.03,31.3,13.55
