state_federal_territory,largest_city,pop_city
Alabama,Huntsville,215006
Alaska,Anchorage,291538
American Samoa,Tafuna,7945
Arizona,Phoenix,1650070
Arkansas,Little Rock,202591
California,Los Angeles,3820914
Colorado,Denver,719239
Connecticut,Bridgeport,148654
Delaware,Wilmington,70635
District of Columbia,"Washington, D.C.",678972
Florida,Jacksonville,985843
Georgia,Atlanta,498715
Guam,Dededo,44943
Hawaii,Honolulu,347397
Idaho,Boise,228790
Illinois,Chicago,2664452
Indiana,Indianapolis,867125
Iowa,Des Moines,216853
Kansas,Wichita,389225
Kentucky,Louisville,620578
Louisiana,New Orleans,399187
Maine,Portland,66417
Maryland,Baltimore,594282
Massachusetts,Boston,699927
Michigan,Detroit,672662
Minnesota,Minneapolis,427728
Mississippi,Jackson,164422
Missouri,Kansas City,508090
Montana,Billings,116827
Nebraska,Omaha,468262
Nevada,Las Vegas,649976
New Hampshire,Manchester,112525
New Jersey,Newark,282090
New Mexico,Albuquerque,560218
New York,New York City,8258035
North Carolina,Charlotte,882367
North Dakota,Fargo,124844
Northern Mariana Islands,Saipan,48220
Ohio,Columbus,895477
Oklahoma,Oklahoma City,649021
Oregon,Portland,661189
Pennsylvania,Philadelphia,1550542
Puerto Rico,San Juan,320967
Rhode Island,Providence,179335
South Carolina,Charleston,150277
South Dakota,Sioux Falls,181883
Tennessee,Nashville,681928
Texas,Houston,2314157
Utah,Salt Lake City,200591
Vermont,Burlington,44743
Virgin Islands (U.S.),Charlotte Amalie,18481
Virginia,Virginia Beach,450189
Washington,Seattle,754567
West Virginia,Charleston,47215
Wisconsin,Milwaukee,592025
Wyoming,Cheyenne,63957
