name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",2015-08-01,33.1,22.8,28.2,34.0,22.8,28.6,17.4,53.3,0.0,0,0.0,,0.0,0.0,34.9,15.9,260.4,1011.7,48.5,16.0,265.1,22.9,8,,2015-08-01T06:08:52,2015-08-01T20:19:30,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-08-02,32.0,22.8,27.3,31.1,22.8,27.2,15.4,49.1,0.0,0,0.0,,0.0,0.0,22.0,22.3,248.3,1013.6,61.2,16.0,259.1,22.4,8,,2015-08-02T06:09:44,2015-08-02T20:18:29,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,KGAI,KDAA,KADW,72033493764,74594013705"
"Washington,DC,USA",2015-08-03,33.2,21.8,27.9,34.9,21.8,28.7,18.6,58.7,0.0,0,0.0,,0.0,0.0,38.5,24.8,186.0,1011.1,45.8,16.0,277.0,24.1,9,,2015-08-03T06:10:38,2015-08-03T20:17:26,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-04,35.3,24.9,29.3,36.6,24.9,30.4,19.0,55.2,1.231,100,8.33,rain,0.0,0.0,47.9,22.6,232.8,1012.3,65.7,14.7,254.7,21.9,9,,2015-08-04T06:11:31,2015-08-04T20:16:22,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-05,33.6,24.0,28.6,33.0,24.0,28.6,17.6,55.3,0.0,0,0.0,,0.0,0.0,36.7,21.6,315.9,1014.1,59.6,16.0,273.5,23.7,9,,2015-08-05T06:12:24,2015-08-05T20:15:16,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-08-06,29.0,23.4,26.2,29.2,23.4,26.4,16.2,54.2,0.072,100,4.17,rain,0.0,0.0,23.0,21.4,17.8,1014.2,88.6,15.9,182.5,15.8,7,,2015-08-06T06:13:18,2015-08-06T20:14:09,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,72403093738,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-07,28.0,21.5,24.4,28.9,21.5,24.7,18.1,68.6,1.614,100,20.83,rain,0.0,0.0,35.3,22.8,46.9,1011.7,97.5,15.8,143.0,12.3,6,,2015-08-07T06:14:12,2015-08-07T20:13:01,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-08,30.8,23.0,26.3,30.5,23.0,26.3,16.3,55.2,0.011,100,4.17,rain,0.0,0.0,30.6,19.7,60.2,1014.0,82.2,16.0,210.2,18.3,8,,2015-08-08T06:15:06,2015-08-08T20:11:51,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-09,31.0,22.3,26.4,31.9,22.3,26.9,17.8,60.0,0.0,0,0.0,,0.0,0.0,22.0,17.4,172.3,1015.7,83.5,16.0,207.8,18.0,7,,2015-08-09T06:16:00,2015-08-09T20:10:41,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-10,26.4,21.9,23.7,26.4,21.9,23.7,19.7,78.5,2.894,100,29.17,rain,0.0,0.0,40.3,27.3,168.8,1015.6,99.2,15.9,135.8,11.7,4,,2015-08-10T06:16:54,2015-08-10T20:09:29,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,72033493764,74594013705"
