zip,pct_m_bach,pct_f_bach
53001,13,23
53002,16.2,25.4
53003,6.8,9.4
53004,23.3,26.8
53005,55.6,53.9
53006,15.4,26.8
53007,25,29.5
53010,12,18.3
53011,16.8,18.3
53012,53.4,48.1
53013,25.1,24.6
53014,17.5,21.2
53015,24.4,25.4
53016,3.8,13.9
53017,41.5,42
53018,55.7,53.4
53019,11.5,18.2
53020,23.3,27.7
53021,17.4,21.8
53022,41.3,38.5
53023,7.9,26.2
53024,43.8,42.1
53027,24.6,27.9
53029,47.5,45.6
53031,NA,NA
53032,17.6,17.1
53033,32,34.7
53034,11.3,14.9
53035,10,19.1
53036,23.6,29
53037,29.7,26.9
53038,24.8,35
53039,11,17.3
53040,19.7,19.7
53042,15.1,14.4
53044,62.9,59.7
53045,65.2,54.9
53046,18.8,13.9
53047,21.4,42.9
53048,15.3,16.6
53049,12.5,31.7
53050,13.9,14.3
53051,41.9,40.2
53057,12,22.1
53058,46.9,51.3
53059,8.6,13.9
53061,18.3,20.8
53063,15.1,22.4
53065,12.8,21.9
53066,43.1,41.3
53069,47.5,66.7
53070,27.1,27.5
53072,50.1,46.4
53073,26.3,31.1
53074,33.7,35.3
53075,18.3,25.3
53076,31.4,37.3
53078,15.4,18.1
53079,10.8,21.2
53080,27.1,21.6
53081,18.9,18.5
53083,30.7,28.9
53085,20.6,21.9
53086,29.3,32
53088,9.9,8.2
53089,36,37.8
53090,19.5,24.2
53091,10,14.3
53092,69.3,54.3
53093,26.3,22.1
53094,16.9,24.7
53095,31.3,29
53097,64.2,62.2
53098,17.8,21.6
53103,22.7,32
53104,18.4,26
53105,20.4,24.7
53108,12.7,20.2
53110,21.1,21.6
53114,12.7,16.3
53115,18.9,18.7
53118,27.6,33
53119,24.1,29
53120,24.1,33.6
53121,28.7,27.2
53122,78,67.5
53125,63.5,50.8
53126,22.7,27.4
53128,19.4,19.7
53129,41.4,39.7
53130,38.1,40.1
53132,38.3,37.4
53137,17.4,25
53139,20.2,34.4
53140,16.7,18.5
53142,31.4,33.1
53143,17.2,19.7
53144,27.4,25.3
53146,30.8,34.8
53147,34.3,31.8
53149,31.5,33.4
53150,32.6,33.5
53151,44.7,41.1
53153,28.9,30.2
53154,31.1,32.2
53156,18.1,22.2
53158,33.4,33.8
53167,13.1,45.1
53168,21.5,22.4
53170,21.9,27.8
53172,18.9,22
53177,13.1,25.3
53178,15.8,18.8
53179,18.5,23.9
53181,22.2,24.2
53182,16.2,19.4
53183,41.6,46.6
53184,23.3,28.4
53185,28.2,31.1
53186,36,35.5
53188,33.8,36.3
53189,38.2,37.7
53190,31.1,36.6
53191,46.7,45.5
53192,0,0
53195,12.2,10.7
53202,64.6,70.3
53203,55.2,54.9
53204,8.3,8.4
53205,9.9,9.8
53206,4.2,7.6
53207,31.5,40.9
53208,24.5,25.1
53209,20.7,21.1
53210,17.5,21.7
53211,64.2,70.1
53212,29.6,31.4
53213,60.2,58.3
53214,21.4,24.6
53215,7.4,11.2
53216,13.7,20.3
53217,72.7,68.5
53218,10.4,13.4
53219,18.9,25.3
53220,22.9,24.3
53221,21.7,24.1
53222,36,40.8
53223,28.3,26.7
53224,24,26.1
53225,17.5,19.9
53226,57.2,55.6
53227,25,28.5
53228,30,31.5
53233,21.3,22.9
53235,28.6,30.8
53295,15.8,0
53402,28.8,27.8
53403,19.4,20.6
53404,13,14.9
53405,21.6,20.3
53406,30.2,30.7
53501,0,0
53502,14.6,20
53503,16.2,23.4
53504,14.2,20.9
53505,7.4,28.1
53506,10.6,16.1
53507,27.9,31.9
53508,29.2,34.3
53510,19.2,20.7
53511,14.8,18.3
53515,28.8,33.7
53516,22.4,32.9
53517,33.1,33.5
53518,12.9,21.9
53520,17.7,17.4
53521,27.8,37.3
53522,10.9,21.3
53523,30.4,37.1
53525,14.9,23.1
53526,18.6,23.1
53527,39.3,38.8
53528,35.6,39.4
53529,19.2,27.2
53530,15,19.8
53531,25,36.4
53532,38,34.8
53533,20.6,26
53534,16.3,26.1
53536,24.6,26.3
53537,2.4,22.4
53538,19,25.9
53540,8.2,16.9
53541,10.2,17.6
53543,16.4,20.7
53544,18.5,28.8
53545,24.7,24
53546,20.4,22.9
53548,17,21.3
53549,21.4,18.1
53550,4.5,12.6
53551,35.3,36.7
53553,5,11.1
53554,15.5,20.5
53555,30.6,34.2
53556,9.8,14.1
53557,13,11.1
53558,42.1,50.2
53559,14.2,21.1
53560,26.1,30.3
53561,25.6,26.7
53562,60.8,60.6
53563,25.3,31.7
53565,23.6,28.7
53566,21,22.7
53569,21.2,20.3
53570,16.7,21.3
53571,37.7,48.8
53572,45.3,40.5
53573,12,15.2
53574,33.9,36.2
53575,37.7,43.4
53576,14.7,26.9
53577,16.6,21
53578,33.7,33
53579,9.7,11
53580,20.1,21
53581,18.2,22.7
53582,15,21.5
