id,planet,star,method,year,radius,mass
1,11 Com b,11 Com,Radial Velocity,2007,NA,NA
2,11 UMi b,11 UMi,Radial Velocity,2009,NA,NA
3,14 And b,14 And,Radial Velocity,2008,NA,NA
4,14 Her b,14 Her,Radial Velocity,2002,NA,2586.74645
5,16 Cyg B b,16 Cyg B,Radial Velocity,1996,NA,NA
6,17 Sco b,17 Sco,Radial Velocity,2020,NA,NA
7,18 Del b,18 Del,Radial Velocity,2008,NA,NA
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,NA,3000
9,24 Boo b,24 Boo,Radial Velocity,2018,NA,NA
10,24 Sex b,24 Sex,Radial Velocity,2010,NA,NA
11,24 Sex c,24 Sex,Radial Velocity,2010,NA,NA
12,2M0437 b,2MASS J04372171+2651014,Imaging,2021,NA,1271.31363
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,NA,4131.79
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,NA,7786.5
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,16.141,4417.837
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,NA,2383.6
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,NA,1589.15
18,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,NA,NA
19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,NA,3972.875
20,30 Ari B b,30 Ari B,Radial Velocity,2009,NA,NA
21,4 UMa b,4 UMa,Radial Velocity,2006,NA,NA
22,42 Dra b,42 Dra,Radial Velocity,2008,NA,NA
23,47 UMa b,47 UMa,Radial Velocity,1996,NA,NA
24,47 UMa c,47 UMa,Radial Velocity,2001,NA,NA
25,47 UMa d,47 UMa,Radial Velocity,2009,NA,NA
26,51 Eri b,51 Eri,Imaging,2015,NA,635.66
27,51 Peg b,51 Peg,Radial Velocity,1995,NA,NA
28,55 Cnc b,55 Cnc,Radial Velocity,1996,NA,NA
29,55 Cnc c,55 Cnc,Radial Velocity,2004,NA,NA
30,55 Cnc d,55 Cnc,Radial Velocity,2002,NA,NA
31,55 Cnc e,55 Cnc,Radial Velocity,2004,1.875,7.99
32,55 Cnc f,55 Cnc,Radial Velocity,2007,NA,NA
33,6 Lyn b,6 Lyn,Radial Velocity,2008,NA,NA
34,61 Vir b,61 Vir,Radial Velocity,2009,NA,NA
35,61 Vir c,61 Vir,Radial Velocity,2009,NA,NA
36,61 Vir d,61 Vir,Radial Velocity,2009,NA,NA
37,7 CMa b,7 CMa,Radial Velocity,2011,NA,NA
38,7 CMa c,7 CMa,Radial Velocity,2019,NA,NA
39,70 Vir b,70 Vir,Radial Velocity,1996,NA,NA
40,75 Cet b,75 Cet,Radial Velocity,2012,NA,NA
41,8 UMi b,8 UMi,Radial Velocity,2015,NA,NA
42,81 Cet b,81 Cet,Radial Velocity,2008,NA,NA
43,91 Aqr b,91 Aqr,Radial Velocity,2013,NA,NA
44,AB Aur b,AB Aur,Imaging,2022,NA,2860.45566
45,AB Pic b,AB Pic,Imaging,2005,NA,4290.5
46,AU Mic b,AU Mic,Transit,2020,NA,20.12
47,AU Mic c,AU Mic,Transit,2021,NA,9.6
48,BD+03 2562 b,BD+03 2562,Radial Velocity,2017,NA,NA
49,BD+14 4559 b,BD+14 4559,Radial Velocity,2009,NA,NA
50,BD+15 2375 b,BD+15 2375,Radial Velocity,2016,NA,NA
51,BD+15 2940 b,BD+15 2940,Radial Velocity,2013,NA,NA
52,BD+20 2457 b,BD+20 2457,Radial Velocity,2009,NA,NA
53,BD+20 2457 c,BD+20 2457,Radial Velocity,2009,NA,NA
54,BD+20 274 b,BD+20 274,Radial Velocity,2012,NA,NA
55,BD+20 594 b,BD+20 594,Transit,2016,2.578,22.2481
56,BD+45 564 b,BD+45 564,Radial Velocity,2021,NA,NA
57,BD+48 738 b,BD+48 738,Radial Velocity,2011,NA,NA
58,BD+48 740 b,BD+48 740,Radial Velocity,2018,NA,NA
59,BD+49 828 b,BD+49 828,Radial Velocity,2015,NA,NA
60,BD+55 362 b,BD+55 362,Radial Velocity,2021,NA,NA
61,BD+60 1417 b,BD+60 1417,Imaging,2021,14.684,4767.4261
62,BD+63 1405 b,BD+63 1405,Radial Velocity,2021,NA,NA
63,BD-00 4475 b,BD-00 4475,Radial Velocity,2021,NA,NA
64,BD-06 1339 b,BD-06 1339,Radial Velocity,2013,NA,NA
65,BD-06 1339 c,BD-06 1339,Radial Velocity,2013,NA,NA
66,BD-08 2823 b,BD-08 2823,Radial Velocity,2009,NA,NA
67,BD-08 2823 c,BD-08 2823,Radial Velocity,2009,NA,NA
68,BD-10 3166 b,BD-10 3166,Radial Velocity,2000,NA,NA
