winter,year1,intervals,duration,first_freeze,last_thaw,decade,ff_june30,lt_june30
1855-56,1855,1,118,1855-12-18,1856-04-14,1850,171,289
1856-57,1856,1,151,1856-12-06,1857-05-06,1850,159,310
1857-58,1857,1,121,1857-11-25,1858-03-26,1850,148,269
1858-59,1858,1,96,1858-12-08,1859-03-14,1850,161,257
1859-60,1859,1,110,1859-12-07,1860-03-26,1850,160,270
1860-61,1860,1,117,1860-12-14,1861-04-10,1860,167,284
1861-62,1861,1,132,1861-12-02,1862-04-13,1860,155,287
1862-63,1862,1,104,1862-12-26,1863-04-09,1860,179,283
1863-64,1863,1,125,1863-12-18,1864-04-21,1860,171,296
1864-65,1864,1,118,1864-12-08,1865-04-05,1860,161,279
1865-66,1865,1,125,1865-12-14,1866-04-18,1860,167,292
1866-67,1866,1,123,1866-12-18,1867-04-20,1860,171,294
1867-68,1867,1,110,1867-12-12,1868-03-31,1860,165,275
1868-69,1868,1,127,1868-12-10,1869-04-16,1860,163,290
1869-70,1869,1,131,1869-12-02,1870-04-12,1860,155,286
1870-71,1870,1,99,1870-12-24,1871-04-02,1870,177,276
1871-72,1871,1,126,1871-12-19,1872-04-23,1870,172,298
1872-73,1872,1,144,1872-11-30,1873-04-23,1870,153,297
1873-74,1873,1,136,1873-11-29,1874-04-14,1870,152,288
1874-75,1874,1,126,1874-12-10,1875-04-15,1870,163,289
1875-76,1875,1,91,1876-01-10,1876-04-10,1870,194,285
1876-77,1876,1,130,1876-12-08,1877-04-17,1870,161,291
1877-78,1877,1,62,1878-01-06,1878-03-09,1870,190,252
1878-79,1878,1,112,1878-12-21,1879-04-12,1870,174,286
1879-80,1879,1,99,1879-12-17,1880-03-25,1870,170,269
1880-81,1880,1,161,1880-11-23,1881-05-03,1880,146,307
1881-82,1881,1,78,1882-01-02,1882-03-21,1880,186,264
1882-83,1882,1,124,1882-12-10,1883-04-13,1880,163,287
1883-84,1883,1,119,1883-12-18,1884-04-15,1880,171,290
1884-85,1884,1,124,1884-12-17,1885-04-20,1880,170,294
1885-86,1885,1,128,1885-12-12,1886-04-19,1880,165,293
1886-87,1886,1,131,1886-12-05,1887-04-15,1880,158,289
1887-88,1887,1,113,1887-12-24,1888-04-15,1880,177,290
1888-89,1888,1,88,1889-01-02,1889-03-31,1880,186,274
1889-90,1889,1,75,1890-01-14,1890-03-30,1880,198,273
1890-91,1890,1,111,1890-12-26,1891-04-16,1890,179,290
1891-92,1891,1,97,1891-12-27,1892-04-02,1890,180,277
1892-93,1892,1,112,1892-12-16,1893-04-07,1890,169,281
1893-94,1893,1,101,1893-12-04,1894-03-15,1890,157,258
1894-95,1894,1,101,1894-12-28,1895-04-08,1890,181,282
1895-96,1895,1,91,1896-01-05,1896-04-05,1890,189,280
1896-97,1896,1,110,1896-12-21,1897-04-10,1890,174,284
1897-98,1897,1,100,1897-12-17,1898-03-27,1890,170,270
1898-99,1898,1,130,1898-12-09,1899-04-18,1890,162,292
1899-00,1899,1,111,1899-12-27,1900-04-17,1890,180,291
1900-01,1900,1,107,1900-12-25,1901-04-11,1900,178,285
1901-02,1901,1,105,1901-12-15,1902-03-30,1900,168,273
1902-03,1902,1,89,1902-12-25,1903-03-24,1900,178,267
1903-04,1903,1,126,1903-12-13,1904-04-17,1900,166,292
1904-05,1904,1,108,1904-12-14,1905-04-01,1900,167,275
1905-06,1905,1,97,1906-01-01,1906-04-08,1900,185,282
1906-07,1906,1,94,1906-12-20,1907-03-24,1900,173,267
1907-08,1907,1,83,1908-01-01,1908-03-24,1900,185,268
1908-09,1908,1,106,1908-12-22,1909-04-07,1900,175,281
1909-10,1909,1,98,1909-12-18,1910-03-26,1900,171,269
1910-11,1910,1,101,1910-12-09,1911-03-20,1910,162,263
1911-12,1911,1,108,1911-12-28,1912-04-14,1910,181,289
1912-13,1912,1,99,1912-12-24,1913-04-02,1910,177,276
1913-14,1913,1,88,1914-01-12,1914-04-10,1910,196,284
1914-15,1914,1,115,1914-12-16,1915-04-10,1910,169,284
1915-16,1915,1,102,1915-12-28,1916-04-08,1910,181,283
1916-17,1916,1,116,1916-12-16,1917-04-11,1910,169,285
1917-18,1917,1,115,1917-12-11,1918-04-05,1910,164,279
1918-19,1918,1,82,1919-01-03,1919-03-26,1910,187,269
1919-20,1919,1,110,1919-12-09,1920-03-28,1910,162,272
1920-21,1920,1,81,1920-12-25,1921-03-16,1920,178,259
1921-22,1921,1,96,1921-12-25,1922-03-31,1920,178,274
1922-23,1922,1,125,1922-12-16,1923-04-20,1920,169,294
1923-24,1923,1,104,1924-01-01,1924-04-14,1920,185,289
1924-25,1924,1,105,1924-12-19,1925-04-03,1920,172,277
