winter,year1,periods,duration,first_freeze,last_thaw,decade,period50,ff_x,ff_cat
1855-1856,1855,1,118,1855-12-18,1856-04-14,1850,1855-1900,171,Dec 16-31
1856-1857,1856,1,151,1856-12-04,1857-05-04,1850,1855-1900,157,Dec 1-15
1857-1858,1857,1,119,1857-11-23,1858-03-22,1850,1855-1900,146,Nov 16-30
1858-1859,1858,1,94,1858-12-11,1859-03-15,1850,1855-1900,164,Dec 1-15
1859-1860,1859,1,111,1859-12-06,1860-03-26,1850,1855-1900,159,Dec 1-15
1860-1861,1860,1,129,1860-12-02,1861-04-10,1860,1855-1900,155,Dec 1-15
1861-1862,1861,1,133,1861-12-01,1862-04-13,1860,1855-1900,154,Dec 1-15
1862-1863,1862,1,119,1862-12-07,1863-04-05,1860,1855-1900,160,Dec 1-15
1863-1864,1863,1,131,1863-12-11,1864-04-20,1860,1855-1900,164,Dec 1-15
1864-1865,1864,1,117,1864-12-09,1865-04-05,1860,1855-1900,162,Dec 1-15
1865-1866,1865,1,125,1865-12-14,1866-04-18,1860,1855-1900,167,Dec 1-15
1866-1867,1866,1,128,1866-12-12,1867-04-19,1860,1855-1900,165,Dec 1-15
1867-1868,1867,1,108,1867-12-14,1868-03-31,1860,1855-1900,167,Dec 1-15
1868-1869,1868,1,126,1868-12-10,1869-04-15,1860,1855-1900,163,Dec 1-15
1869-1870,1869,1,138,1869-11-24,1870-04-11,1860,1855-1900,147,Nov 16-30
1870-1871,1870,1,100,1870-12-22,1871-04-01,1870,1855-1900,175,Dec 16-31
1871-1872,1871,1,142,1871-11-30,1872-04-20,1870,1855-1900,153,Nov 16-30
1872-1873,1872,1,141,1872-11-28,1873-04-18,1870,1855-1900,151,Nov 16-30
1873-1874,1873,1,136,1873-11-29,1874-04-14,1870,1855-1900,152,Nov 16-30
1874-1875,1874,1,123,1874-12-12,1875-04-14,1870,1855-1900,165,Dec 1-15
1875-1876,1875,1,91,1876-01-10,1876-04-10,1870,1855-1900,194,Jan 1-15
1876-1877,1876,1,132,1876-12-05,1877-04-16,1870,1855-1900,158,Dec 1-15
1877-1878,1877,1,62,1878-01-06,1878-03-09,1870,1855-1900,190,Jan 1-15
1878-1879,1878,1,115,1878-12-16,1879-04-10,1870,1855-1900,169,Dec 16-31
1879-1880,1879,1,93,1879-12-16,1880-03-18,1870,1855-1900,169,Dec 16-31
1880-1881,1880,1,160,1880-11-22,1881-05-01,1880,1855-1900,145,Nov 16-30
1881-1882,1881,1,77,1882-01-01,1882-03-19,1880,1855-1900,185,Jan 1-15
1882-1883,1882,1,127,1882-12-07,1883-04-13,1880,1855-1900,160,Dec 1-15
1883-1884,1883,1,120,1883-12-17,1884-04-15,1880,1855-1900,170,Dec 16-31
1884-1885,1884,1,121,1884-12-17,1885-04-17,1880,1855-1900,170,Dec 16-31
1885-1886,1885,1,131,1885-12-07,1886-04-17,1880,1855-1900,160,Dec 1-15
1886-1887,1886,1,131,1886-12-05,1887-04-15,1880,1855-1900,158,Dec 1-15
1887-1888,1887,1,137,1887-11-28,1888-04-13,1880,1855-1900,151,Nov 16-30
1888-1889,1888,1,87,1888-12-29,1889-03-26,1880,1855-1900,182,Dec 16-31
1889-1890,1889,1,74,1890-01-14,1890-03-29,1880,1855-1900,198,Jan 1-15
