zip,sex,age,obese,n,pop
53001,female,05-17,NA,NA,151
53002,female,05-17,11,78,172
53003,female,05-17,NA,NA,4
53004,female,05-17,NA,NA,325
53005,female,05-17,NA,NA,1882
53006,female,05-17,NA,NA,122
53007,female,05-17,NA,NA,95
53010,female,05-17,27,231,521
53011,female,05-17,NA,NA,189
53012,female,05-17,44,480,1716
53013,female,05-17,NA,NA,256
53014,female,05-17,21,113,763
53015,female,05-17,NA,NA,212
53016,female,05-17,NA,NA,5
53017,female,05-17,15,141,570
53018,female,05-17,NA,NA,685
53019,female,05-17,NA,NA,132
53020,female,05-17,NA,NA,291
53021,female,05-17,12,127,368
53022,female,05-17,62,670,1983
53023,female,05-17,NA,NA,149
53024,female,05-17,37,296,1298
53027,female,05-17,61,512,2082
53029,female,05-17,NA,NA,2337
53031,female,05-17,NA,NA,4
53032,female,05-17,17,95,530
53033,female,05-17,11,114,268
53034,female,05-17,NA,NA,143
53035,female,05-17,NA,NA,227
53036,female,05-17,NA,NA,182
53037,female,05-17,35,349,811
53038,female,05-17,NA,NA,369
53039,female,05-17,13,64,301
53040,female,05-17,38,332,808
53042,female,05-17,10,77,589
53044,female,05-17,NA,NA,350
53045,female,05-17,NA,NA,2171
53046,female,05-17,NA,NA,53
53047,female,05-17,NA,NA,11
53048,female,05-17,NA,NA,240
53049,female,05-17,NA,NA,228
53050,female,05-17,11,80,466
53051,female,05-17,80,854,2903
53057,female,05-17,NA,NA,105
53058,female,05-17,NA,NA,292
53059,female,05-17,NA,NA,108
53061,female,05-17,NA,NA,345
53063,female,05-17,NA,NA,135
53065,female,05-17,NA,NA,184
53066,female,05-17,NA,NA,3053
53069,female,05-17,NA,NA,19
53070,female,05-17,11,92,461
53072,female,05-17,NA,NA,2413
53073,female,05-17,40,242,1183
53074,female,05-17,30,186,1132
53075,female,05-17,NA,NA,275
53076,female,05-17,NA,NA,406
53078,female,05-17,NA,NA,187
53079,female,05-17,NA,NA,98
53080,female,05-17,10,110,427
53081,female,05-17,110,539,3400
53083,female,05-17,33,205,1756
53085,female,05-17,21,152,1004
53086,female,05-17,29,250,763
53088,female,05-17,NA,NA,22
53089,female,05-17,35,423,1833
53090,female,05-17,124,858,1802
53091,female,05-17,NA,NA,149
53092,female,05-17,21,308,1583
53093,female,05-17,NA,NA,150
53094,female,05-17,NA,NA,1932
