Team,Location,Lat,Long
Atlanta Hawks,ATL,33.757222,-84.396389
Boston Celtics,BOS,42.366303,-71.062228
Brooklyn Nets,BKN,40.682661,-73.975225
Charlotte Hornets,CHA,35.225,-80.839167
Chicago Bulls,CHI,41.880556,-87.674167
Cleveland Cavaliers,CLE,41.496389,-81.688056
Dallas Mavericks,DAL,32.790556,-96.810278
Denver Nuggets,DEN,39.74892,-105.0084
Detroit Pistons,DET,42.341111,-83.055
Golden State Warriors,GSW,37.768056,-122.3875
Houston Rockets,HOU,29.750833,-95.362222
Indiana Pacers,IND,39.763889,-86.155556
Los Angeles Clippers,LAC,34.043056,-118.267222
Los Angeles Lakers,LAL,34.043056,-118.267222
Memphis Grizzlies,MEM,35.138333,-90.050556
Miami Heat,MIA,25.781389,-80.188056
Milwaukee Bucks,MIL,43.045028,-87.918167
Minnesota Timberwolves,MIN,44.9795,-93.2761
New Orleans Pelicans,NOP,29.948889,-90.081944
New York Knicks,NYK,40.750556,-73.993611
Oklahoma City Thunder,OKC,35.463333,-97.515
Orlando Magic,ORL,28.539167,-81.383611
Philadelphia 76ers,PHI,39.901111,-75.171944
Phoenix Suns,PHX,33.445833,-112.071389
Portland Trail Blazers,POR,45.531667,-122.666667
Sacremento Kings,SAC,38.580361,-121.499611
San Antonio Spurs,SAS,29.426944,-98.4375
Toronto Raptors,TOR,43.643333,-79.379167
Utah Jazz,UTA,40.768333,-111.901111
Washington Wizards,WAS,38.8982,-77.0209
